"COUNTRY","Country","BIRTH","Place of birth","HATLEV1D","Educational attainment","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,72.3,,
"AUS","Australia","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,72.6,,
"AUS","Australia","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,73.7,,
"AUS","Australia","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,74.5,,
"AUS","Australia","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,75.1,,
"AUS","Australia","FB","Foreign-born","T","Total","2020","2020","PC","Percentage","0","Units",,,71,,
"AUS","Australia","FB","Foreign-born","T","Total","2021","2021","PC","Percentage","0","Units",,,74.2,,
"AUS","Australia","FB","Foreign-born","T","Total","2022","2022","PC","Percentage","0","Units",,,77.2,,
"AUT","Austria","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,67.4,,
"AUT","Austria","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,67.6,,
"AUT","Austria","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,68.9,,
"AUT","Austria","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,70.3,,
"AUT","Austria","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,71.8,,
"AUT","Austria","FB","Foreign-born","T","Total","2020","2020","PC","Percentage","0","Units",,,66.1,,
"AUT","Austria","FB","Foreign-born","T","Total","2021","2021","PC","Percentage","0","Units",,,67.6,,
"AUT","Austria","FB","Foreign-born","T","Total","2022","2022","PC","Percentage","0","Units",,,70.2,,
"AUT","Austria","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,51.3,,
"AUT","Austria","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,50.7,,
"AUT","Austria","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,51.6,,
"AUT","Austria","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,56.3,,
"AUT","Austria","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,55.7,,
"AUT","Austria","FB","Foreign-born","L","Low","2020","2020","PC","Percentage","0","Units",,,53,,
"AUT","Austria","FB","Foreign-born","L","Low","2021","2021","PC","Percentage","0","Units",,,51.4,,
"AUT","Austria","FB","Foreign-born","L","Low","2022","2022","PC","Percentage","0","Units",,,52.1,,
"AUT","Austria","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,71.2,,
"AUT","Austria","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,72.2,,
"AUT","Austria","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,73,,
"AUT","Austria","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,74.5,,
"AUT","Austria","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,76.6,,
"AUT","Austria","FB","Foreign-born","M","Medium","2020","2020","PC","Percentage","0","Units",,,72.2,,
"AUT","Austria","FB","Foreign-born","M","Medium","2021","2021","PC","Percentage","0","Units",,,70.4,,
"AUT","Austria","FB","Foreign-born","M","Medium","2022","2022","PC","Percentage","0","Units",,,74.1,,
"AUT","Austria","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,75.8,,
"AUT","Austria","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,76,,
"AUT","Austria","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,78,,
"AUT","Austria","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,76,,
"AUT","Austria","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,78.1,,
"AUT","Austria","FB","Foreign-born","H","High","2020","2020","PC","Percentage","0","Units",,,77.1,,
"AUT","Austria","FB","Foreign-born","H","High","2021","2021","PC","Percentage","0","Units",,,77.8,,
"AUT","Austria","FB","Foreign-born","H","High","2022","2022","PC","Percentage","0","Units",,,80.2,,
"BEL","Belgium","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,57.8,,
"BEL","Belgium","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,58.8,,
"BEL","Belgium","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,61.9,,
"BEL","Belgium","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,63.4,,
"BEL","Belgium","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,62,,
"BEL","Belgium","FB","Foreign-born","T","Total","2020","2020","PC","Percentage","0","Units",,,57.5,,
"BEL","Belgium","FB","Foreign-born","T","Total","2021","2021","PC","Percentage","0","Units",,,59.4,,
"BEL","Belgium","FB","Foreign-born","T","Total","2022","2022","PC","Percentage","0","Units",,,61.5,,
"BEL","Belgium","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,41.6,,
"BEL","Belgium","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,42.3,,
"BEL","Belgium","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,46.6,,
"BEL","Belgium","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,45.4,,
"BEL","Belgium","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,44.1,,
"BEL","Belgium","FB","Foreign-born","L","Low","2020","2020","PC","Percentage","0","Units",,,43.8,,
"BEL","Belgium","FB","Foreign-born","L","Low","2021","2021","PC","Percentage","0","Units",,,37.4,,
"BEL","Belgium","FB","Foreign-born","L","Low","2022","2022","PC","Percentage","0","Units",,,40.7,,
"BEL","Belgium","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,61.1,,
"BEL","Belgium","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,62.7,,
"BEL","Belgium","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,63.6,,
"BEL","Belgium","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,70.2,,
"BEL","Belgium","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,67.9,,
"BEL","Belgium","FB","Foreign-born","M","Medium","2020","2020","PC","Percentage","0","Units",,,64.7,,
"BEL","Belgium","FB","Foreign-born","M","Medium","2021","2021","PC","Percentage","0","Units",,,60.9,,
"BEL","Belgium","FB","Foreign-born","M","Medium","2022","2022","PC","Percentage","0","Units",,,60.3,,
"BEL","Belgium","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,73.3,,
"BEL","Belgium","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,73.5,,
"BEL","Belgium","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,76.6,,
"BEL","Belgium","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,76.1,,
"BEL","Belgium","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,75.7,,
"BEL","Belgium","FB","Foreign-born","H","High","2020","2020","PC","Percentage","0","Units",,,76.3,,
"BEL","Belgium","FB","Foreign-born","H","High","2021","2021","PC","Percentage","0","Units",,,77.3,,
"BEL","Belgium","FB","Foreign-born","H","High","2022","2022","PC","Percentage","0","Units",,,80,,
"CAN","Canada","FB","Foreign-born","T","Total","2020","2020","PC","Percentage","0","Units",,,68.5,,
"CAN","Canada","FB","Foreign-born","T","Total","2021","2021","PC","Percentage","0","Units",,,73.3,,
"CAN","Canada","FB","Foreign-born","T","Total","2022","2022","PC","Percentage","0","Units",,,75.2,,
"CAN","Canada","FB","Foreign-born","L","Low","2020","2020","PC","Percentage","0","Units",,,52,,
"CAN","Canada","FB","Foreign-born","L","Low","2021","2021","PC","Percentage","0","Units",,,44.2,,
"CAN","Canada","FB","Foreign-born","L","Low","2022","2022","PC","Percentage","0","Units",,,46.3,,
"CAN","Canada","FB","Foreign-born","M","Medium","2020","2020","PC","Percentage","0","Units",,,66.4,,
"CAN","Canada","FB","Foreign-born","M","Medium","2021","2021","PC","Percentage","0","Units",,,64.7,,
"CAN","Canada","FB","Foreign-born","M","Medium","2022","2022","PC","Percentage","0","Units",,,69.1,,
"CAN","Canada","FB","Foreign-born","H","High","2020","2020","PC","Percentage","0","Units",,,76.3,,
"CAN","Canada","FB","Foreign-born","H","High","2021","2021","PC","Percentage","0","Units",,,79.7,,
"CAN","Canada","FB","Foreign-born","H","High","2022","2022","PC","Percentage","0","Units",,,81.2,,
"CZE","Czechia","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,75.5,,
"CZE","Czechia","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,77.5,,
"CZE","Czechia","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,81.9,,
"CZE","Czechia","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,81.1,,
"CZE","Czechia","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,81,,
"CZE","Czechia","FB","Foreign-born","T","Total","2020","2020","PC","Percentage","0","Units",,,79.3,,
"CZE","Czechia","FB","Foreign-born","T","Total","2021","2021","PC","Percentage","0","Units",,,79.8,,
"CZE","Czechia","FB","Foreign-born","T","Total","2022","2022","PC","Percentage","0","Units",,,81,,
"CZE","Czechia","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,51.5,,
"CZE","Czechia","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,56,,
"CZE","Czechia","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,67.4,,
"CZE","Czechia","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,70.2,,
